"","watershed","decay_min","decay_avg","decay_max","incipient_motion_flow"
"1","Calaveras River",0.01672,0.08047,0.1886,843.93845888
"2","Mokelumne River",0.02022,0.0973,0.22804,1998.9110552
"3","Merced River",0.04243,0.20098,0.46946,2371.4350056
"4","Stanislaus River",0.0378,0.18189,0.4263,1636.444854224
"5","Tuolumne River",0.08112,0.3717,0.86192,4330.92546
