x,y,location
107.73480662983366,1.2569546120058566,Benton Dr. to Cypress Ave. Bridge
501.3812154696131,0.5629575402635443,Benton Dr. to Cypress Ave. Bridge
745.8563535911599,0.7210834553440706,Benton Dr. to Cypress Ave. Bridge
997.2375690607736,0.765007320644217,Benton Dr. to Cypress Ave. Bridge
1497.237569060774,0.5014641288433384,Benton Dr. to Cypress Ave. Bridge
1991.7127071823213,0.4092240117130312,Benton Dr. to Cypress Ave. Bridge
108.267716535433,0.8102725366876309,Cypress Ave. Bridge to Bonnyview
503.93700787401576,0.2798742138364778,Cypress Ave. Bridge to Bonnyview
751.9685039370079,0.4937106918238991,Cypress Ave. Bridge to Bonnyview
1001.968503937008,0.6425576519916141,Cypress Ave. Bridge to Bonnyview
1244.0944881889766,0.711740041928721,Cypress Ave. Bridge to Bonnyview
1994.094488188976,0.4266247379454926,Cypress Ave. Bridge to Bonnyview
104.25531914893622,0.3102678571428572,Keswick to Benton Dr. Bridge
208.51063829787233,0.1919642857142856,Keswick to Benton Dr. Bridge
497.872340425532,0.2142857142857144,Keswick to Benton Dr. Bridge
748.9361702127658,0.3660714285714288,Keswick to Benton Dr. Bridge
1248.9361702127658,0.3236607142857144,Keswick to Benton Dr. Bridge
2021.27659574468,0.4263392857142858,Keswick to Benton Dr. Bridge
210.8433734939756,0.965811965811966,Bonnyview to Clear Creek
497.9919678714857,0.666666666666667,Bonnyview to Clear Creek
746.9879518072287,0.683760683760684,Bonnyview to Clear Creek
1006.0240963855422,0.7970085470085473,Bonnyview to Clear Creek
1493.9759036144574,0.9123931623931628,Bonnyview to Clear Creek
2002.008032128514,0.9145299145299148,Bonnyview to Clear Creek
